Action_0,Action_1,Action_2,Action_3,Reward
1.0,0.0,0.0,1.0,0.9
0.0,1.0,0.0,1.0,0.9
1.0,1.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,0.95
0.0,1.0,0.0,0.0,0.95
0.0,0.0,1.0,1.0,0.9
0.0,1.0,1.0,1.0,0.85
1.0,0.0,1.0,1.0,0.85
1.0,1.0,0.0,0.0,0.9
0.0,0.0,1.0,0.0,0.95
0.0,1.0,0.0,1.0,0.9
0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,0.95
1.0,0.0,1.0,1.0,0.85
1.0,1.0,1.0,0.0,0.85
1.0,0.0,0.0,1.0,0.9
1.0,1.0,1.0,1.0,0.8
1.0,0.0,0.0,0.0,0.95
0.0,0.0,1.0,0.0,0.95
1.0,0.0,0.0,0.0,0.95
1.0,1.0,0.0,0.0,0.9
1.0,1.0,1.0,1.0,0.8
1.0,0.0,0.0,1.0,0.9
1.0,1.0,0.0,0.0,0.9
0.0,1.0,0.0,1.0,0.9
0.0,1.0,1.0,1.0,0.85
1.0,1.0,1.0,0.0,0.85
1.0,0.0,0.0,1.0,0.9
0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,0.85
