time_step,action,action_binary,ac,heater,dehum,hum,reward,label_next,q_value_max,q_values,temp,humid,light,temp_normalized,humid_normalized,light_normalized
0,10,1010,0.0000,1.0000,0.0000,1.0000,0.9000,0,0.0142,"[0.013305745087563992, 0.011360062286257744, 0.010471976362168789, 0.013595247641205788, 0.01106350775808096, 0.012606914155185223, 0.011376950889825821, 0.013521677814424038, 0.009786426089704037, 0.012894166633486748, 0.014190585352480412, 0.011291498318314552, 0.013370630331337452, 0.01172634121030569, 0.012411913834512234, 0.013575556688010693]",21.9094,65.6247,253.9873,0.5477,0.6562,0.2540
1,9,1001,1.0000,0.0000,0.0000,1.0000,0.9000,0,0.0142,"[0.01387956365942955, 0.01123358216136694, 0.010620328597724438, 0.01362883485853672, 0.012390483170747757, 0.011312196962535381, 0.01008867472410202, 0.013774016872048378, 0.008391613140702248, 0.014198319055140018, 0.013922253623604774, 0.011328871361911297, 0.012784644030034542, 0.012510852888226509, 0.012356363236904144, 0.013610465452075005]",23.4520,65.5915,244.5757,0.5863,0.6559,0.2446
2,15,1111,1.0000,1.0000,1.0000,1.0000,0.8000,0,0.0280,"[0.02209072932600975, 0.016908133402466774, 0.020167473703622818, 0.023843346163630486, 0.019952068105340004, 0.005675204563885927, 0.007679374888539314, 0.019266784191131592, 0.007272772490978241, 0.019050749018788338, 0.02108832076191902, 0.01880829781293869, 0.013917711563408375, 0.021570907905697823, 0.007956720888614655, 0.028039969503879547]",21.7766,66.2532,245.0349,0.5444,0.6625,0.2450
3,15,1111,1.0000,1.0000,1.0000,1.0000,0.8000,0,0.0435,"[0.031490448862314224, 0.025920024141669273, 0.029207393527030945, 0.028846781700849533, 0.03747177496552467, -0.005774243734776974, 0.010130275040864944, 0.023776516318321228, 0.006416153162717819, 0.01425695326179266, 0.03154807537794113, 0.019836969673633575, 0.012185066938400269, 0.02640523388981819, -0.006583561189472675, 0.04346337914466858]",21.2069,66.3292,252.8116,0.5302,0.6633,0.2528
4,15,1111,1.0000,1.0000,1.0000,1.0000,0.8000,0,0.0577,"[0.03334107995033264, 0.03994245454668999, 0.043983105570077896, 0.03147360682487488, 0.0558018758893013, -0.004556654952466488, 0.008411777205765247, 0.03111794963479042, 0.011822578497231007, 0.022967588156461716, 0.04265756532549858, 0.02476915344595909, 0.01616726815700531, 0.05285978689789772, -0.03436460345983505, 0.05771844834089279]",22.2536,66.1621,248.4889,0.5563,0.6616,0.2485
5,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.0797,"[0.032769955694675446, 0.05722459405660629, 0.06171881780028343, 0.037733741104602814, 0.06925107538700104, 0.005685732699930668, 0.008783460594713688, 0.03526708483695984, 0.019434120506048203, 0.039062194526195526, 0.05357856675982475, 0.03474625200033188, 0.02135048434138298, 0.07974731922149658, -0.06258063018321991, 0.06774958223104477]",22.4631,65.8260,255.3136,0.5616,0.6583,0.2553
6,4,0100,0.0000,0.0000,1.0000,0.0000,0.9500,0,0.0879,"[0.03591031953692436, 0.0678444430232048, 0.07255129516124725, 0.03639376163482666, 0.08791618794202805, -0.0038426248356699944, 0.0010627787560224533, 0.03652867302298546, 0.02125469222664833, 0.032549723982810974, 0.059297315776348114, 0.023707106709480286, 0.016651468351483345, 0.08507040143013, -0.0754292756319046, 0.07154688239097595]",22.0126,66.4704,254.3212,0.5503,0.6647,0.2543
7,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1018,"[0.04502616822719574, 0.07053569704294205, 0.07227927446365356, 0.04451591521501541, 0.09216927736997604, 0.0013971207663416862, 0.000710977241396904, 0.03882155567407608, 0.023939985781908035, 0.04836761951446533, 0.07047146558761597, 0.044168971478939056, 0.020293675363063812, 0.10183770209550858, -0.08267459273338318, 0.09100104123353958]",22.6895,65.8094,251.9316,0.5672,0.6581,0.2519
8,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1272,"[0.05620548129081726, 0.08615162968635559, 0.08713945001363754, 0.057086825370788574, 0.1177481934428215, 0.020594000816345215, 0.008589237928390503, 0.03781454265117645, 0.03652585670351982, 0.07149340212345123, 0.08418428897857666, 0.07672630995512009, 0.030622702091932297, 0.12721526622772217, -0.10782317817211151, 0.11550092697143555]",22.1838,65.1945,256.1869,0.5546,0.6519,0.2562
9,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1397,"[0.05767442286014557, 0.09500231593847275, 0.09821829944849014, 0.05731835961341858, 0.12631064653396606, 0.02493741363286972, 0.0010696128010749817, 0.038321446627378464, 0.041081544011831284, 0.07667706906795502, 0.09264945238828659, 0.07734287530183792, 0.033648621290922165, 0.13973715901374817, -0.12364321202039719, 0.11955360323190689]",22.7557,65.8817,248.2497,0.5689,0.6588,0.2482
10,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1546,"[0.05394390970468521, 0.10540884733200073, 0.10635022073984146, 0.054687418043613434, 0.13100777566432953, 0.03777530789375305, -0.00525052472949028, 0.034987106919288635, 0.05249984189867973, 0.08335530757904053, 0.09856103360652924, 0.07605242729187012, 0.04058685526251793, 0.1546204388141632, -0.14349284768104553, 0.11634965986013412]",22.1657,65.8642,253.7384,0.5541,0.6586,0.2537
11,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1349,"[0.04638848453760147, 0.1125834509730339, 0.10760759562253952, 0.050524137914180756, 0.11900683492422104, 0.06925153732299805, -0.0024890750646591187, 0.016102492809295654, 0.07009784132242203, 0.08999484032392502, 0.09761427342891693, 0.07695399969816208, 0.046241749078035355, 0.13489732146263123, -0.1475418508052826, 0.09458503872156143]",23.3441,65.1794,257.3781,0.5836,0.6518,0.2574
12,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1503,"[0.049646373838186264, 0.1382768303155899, 0.11134100705385208, 0.053863488137722015, 0.13493429124355316, 0.10029705613851547, 0.011245202273130417, 0.005103095434606075, 0.09514117985963821, 0.11716703325510025, 0.09650379419326782, 0.09425827115774155, 0.06814242154359818, 0.1502784639596939, -0.17005132138729095, 0.09723607450723648]",22.7984,65.2299,251.2663,0.5700,0.6523,0.2513
13,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1375,"[0.04636520892381668, 0.12441841512918472, 0.11185865849256516, 0.0451371893286705, 0.12680956721305847, 0.10008857399225235, 0.011801961809396744, 0.004376068711280823, 0.09179817140102386, 0.11282453685998917, 0.09194932878017426, 0.08967392891645432, 0.06701090931892395, 0.13749903440475464, -0.1637885719537735, 0.08458274602890015]",21.4418,65.2554,249.8209,0.5360,0.6526,0.2498
14,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1281,"[0.04188361018896103, 0.10872858017683029, 0.1142381951212883, 0.035536907613277435, 0.11757911741733551, 0.10012207180261612, 0.013586364686489105, 0.006602437235414982, 0.08567603677511215, 0.11370368301868439, 0.08765444904565811, 0.08779764920473099, 0.06639033555984497, 0.12806157767772675, -0.15815287828445435, 0.06758708506822586]",22.0124,65.2426,257.5430,0.5503,0.6524,0.2575
15,9,1001,1.0000,0.0000,0.0000,1.0000,0.9000,0,0.1268,"[0.03838185966014862, 0.10802501440048218, 0.11210884153842926, 0.018545428290963173, 0.11308974772691727, 0.11478725075721741, 0.034135397523641586, 0.0036190804094076157, 0.08906672894954681, 0.12678776681423187, 0.0783798098564148, 0.09178489446640015, 0.07498721778392792, 0.11976922303438187, -0.16466006636619568, 0.04789060726761818]",22.5111,65.7436,252.9956,0.5628,0.6574,0.2530
16,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1182,"[0.03730709105730057, 0.09258411079645157, 0.11083390563726425, 0.01083384919911623, 0.09214603900909424, 0.09695956110954285, 0.012879081070423126, 0.010812317952513695, 0.06238503009080887, 0.11425205320119858, 0.08422477543354034, 0.0869622454047203, 0.056054726243019104, 0.11816838383674622, -0.1257617026567459, 0.0465068593621254]",23.7307,65.8223,259.3816,0.5933,0.6582,0.2594
17,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.7060,66.1828,255.8704,0.5677,0.6618,0.2559
18,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.9508,66.7736,255.4054,0.5738,0.6677,0.2554
19,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.5190,64.9678,255.6935,0.5630,0.6497,0.2557
20,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.6266,66.1640,251.9762,0.5657,0.6616,0.2520
21,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",23.0880,65.9384,256.5708,0.5772,0.6594,0.2566
22,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.1771,65.8842,255.5878,0.5544,0.6588,0.2556
23,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.9462,65.6599,261.2542,0.5737,0.6566,0.2613
24,13,1101,1.0000,0.0000,1.0000,1.0000,0.8500,0,0.1329,"[0.029421497136354446, 0.09596667438745499, 0.11186040937900543, 0.013842737302184105, 0.08301951736211777, 0.08563197404146194, -0.0029065199196338654, 0.013041939586400986, 0.0484941266477108, 0.11117260158061981, 0.09301058948040009, 0.0814158245921135, 0.04530254378914833, 0.1328738033771515, -0.11822745949029922, 0.052619654685258865]",22.7857,65.6976,252.2743,0.5696,0.6570,0.2523
